file,qualified_name,type,name,signature,visibility,line,description,inputs,outputs,side_effects,dependencies,dev_usage,evidence_status,review_status
core.py,core.load_external_components,function,load_external_components,"(external_plugin_dir: Union[str, Path, None], plugin_pool: Optional[PluginPool], sta_pool: Optional[StaPool])",public,24,Load external components from the specified directory into the plugin and statistical item pools.,"(external_plugin_dir: Union[str, Path, None], plugin_pool: Optional[PluginPool], sta_pool: Optional[StaPool])",,,Lang.WARN_EXT_INVALID_PLUGIN; Lang.WARN_EXT_INVALID_STA; Lang.WARN_EXT_LOAD_FAILED; exp.exists; exp.is_dir,,auto_generated,pending
core.py,core.create_pools,function,create_pools,(),public,88,待人工补充,(),,,,,auto_generated,pending
core.py,core.find_latest_results_folder,function,find_latest_results_folder,(parent_folder: str),public,97,待人工补充,(parent_folder: str),,,child.is_dir; child.name; parent_path.exists; parent_path.is_dir; parent_path.iterdir,,auto_generated,pending
core.py,core.check_output,function,check_output,"(proj_dir: Path, out_dir: Optional[str])",public,116,待人工补充,"(proj_dir: Path, out_dir: Optional[str])",,,os.path; pout.is_dir; pout.mkdir; pout.resolve,,auto_generated,pending
core.py,core.create_output_directory,function,create_output_directory,"(proj_dir: Path, out_dir: Optional[str], use_trip_logger: bool)",public,132,待人工补充,"(proj_dir: Path, out_dir: Optional[str], use_trip_logger: bool)",,,,,auto_generated,pending
core.py,core._create_plg_and_stats,function,_create_plg_and_stats,"(plgfile: Optional[str], state_dir: Optional[str], pout: Path, inst: TrafficInst, logging_items: Optional[List[str]], disabled_plugins: Optional[List[str]])",protected,144,待人工补充,"(plgfile: Optional[str], state_dir: Optional[str], pout: Path, inst: TrafficInst, logging_items: Optional[List[str]], disabled_plugins: Optional[List[str]])",,,Lang.INVALID_PLUGIN_STATES; Lang.PICKLER_MISMATCH_PLG; Lang.PY_VERSION_MISMATCH_PLG; gzip.open; pickle.__name__,,auto_generated,pending
core.py,core._create_inst,function,_create_inst,"(case_data: CaseData, state_dir: Optional[str], tlogger: TripLogger, seed: int, silent: bool, vscfg: Optional[CommonConfig], config: Union[None, SUMOConfig, UXsimConfig])",protected,169,待人工补充,"(case_data: CaseData, state_dir: Optional[str], tlogger: TripLogger, seed: int, silent: bool, vscfg: Optional[CommonConfig], config: Union[None, SUMOConfig, UXsimConfig])",,,CaseType.SUMO; TrafficSUMO.create; TrafficSUMO.load; TrafficUX.create; TrafficUX.load,,auto_generated,pending
core.py,core.LoadStateOption,class,LoadStateOption,,public,194,待人工补充,,,,,,auto_generated,pending
core.py,core.check_state_dir,function,check_state_dir,"(state_option: LoadStateOption, state_dir: Optional[str], pproj: Path)",public,201,待人工补充,"(state_option: LoadStateOption, state_dir: Optional[str], pproj: Path)",,,LoadStateOption.FromGiven; LoadStateOption.FromLastResult; LoadStateOption.Skip; psd.is_dir,,auto_generated,pending
core.py,core.SaveStateOptions,class,SaveStateOptions,,public,217,待人工补充,,,,,,auto_generated,pending
core.py,core.MsgPack,class,MsgPack,,public,225,待人工补充,,,,,,auto_generated,pending
core.py,core.ClientOptions,class,ClientOptions,,public,232,待人工补充,,,,,,auto_generated,pending
core.py,core.ClientOptions.__post_init__,method,__post_init__,(self),dunder,236,待人工补充,(self),,,Lang.ERROR_CLIENT_ID_NOT_SPECIFIED; self.clientID; self.hostQ,,auto_generated,pending
core.py,core.V2SimInstance,class,V2SimInstance,,public,241,待人工补充,,,,,,auto_generated,pending
core.py,core.V2SimInstance.__mpsend,method,__mpsend,"(self, con: str, obj: Any)",private,242,待人工补充,"(self, con: str, obj: Any)",,,Lang.WARN_SIM_COMM_FAILED; self.__clntID; self.__mpQ,,auto_generated,pending
core.py,core.V2SimInstance.__print,method,__print,"(self, con: str, file: Any, end)",private,249,待人工补充,"(self, con: str, file: Any, end)",,,self.__silent; sys.stdout,,auto_generated,pending
core.py,core.V2SimInstance.__init__,method,__init__,"(self, out_dir: Path, traffic: TrafficInst, plugins: PluginMan, stats: StaWriter, break_at: Optional[int], client_options: Optional[ClientOptions], save: SaveStateOptions, vb, silent: bool, show_progress: bool)",dunder,252,待人工补充,"(self, out_dir: Path, traffic: TrafficInst, plugins: PluginMan, stats: StaWriter, break_at: Optional[int], client_options: Optional[ClientOptions], save: SaveStateOptions, vb, silent: bool, show_progress: bool)",,,Lang.ERROR_CLIENT_ID_NOT_SPECIFIED; Lang.INFO_PLG; SaveStateOptions.Skip; client_options.clientID; client_options.hostQ,,auto_generated,pending
core.py,core.V2SimInstance.from_project,method,from_project,"(proj_dir: str, time: TimeConfig, break_at: Optional[int], out_dir: Optional[str], seed, silent: bool, vb, vscfg: Union[None, CommonConfig], config: Union[None, SUMOConfig, UXsimConfig], disabled_plugins: Optional[List[str]], logging_items: Optional[List[str]], state_option: LoadStateOption, state_dir: Optional[str], save_option: SaveStateOptions, client_options: Optional[ClientOptions], use_trip_logger: bool)",public,298,待人工补充,"(proj_dir: str, time: TimeConfig, break_at: Optional[int], out_dir: Optional[str], seed, silent: bool, vb, vscfg: Union[None, CommonConfig], config: Union[None, SUMOConfig, UXsimConfig], disabled_plugins: Optional[List[str]], logging_items: Optional[List[str]], state_option: LoadStateOption, state_dir: Optional[str], save_option: SaveStateOptions, client_options: Optional[ClientOptions], use_trip_logger: bool)",,,CaseData.parse; LoadStateOption.Skip; SaveStateOptions.Skip; TrafficUX.load; case_data.files,,auto_generated,pending
core.py,core.V2SimInstance.from_case_data,method,from_case_data,"(case_data: CaseData, pout: Path, break_at: Optional[int], seed, silent: bool, vb, vscfg: Union[None, CommonConfig], config: Union[None, SUMOConfig, UXsimConfig], disabled_plugins: Optional[List[str]], logging_items: Optional[List[str]], state_option: LoadStateOption, state_dir: Optional[str], save_option: SaveStateOptions, client_options: Optional[ClientOptions], use_trip_logger: bool)",public,337,待人工补充,"(case_data: CaseData, pout: Path, break_at: Optional[int], seed, silent: bool, vb, vscfg: Union[None, CommonConfig], config: Union[None, SUMOConfig, UXsimConfig], disabled_plugins: Optional[List[str]], logging_items: Optional[List[str]], state_option: LoadStateOption, state_dir: Optional[str], save_option: SaveStateOptions, client_options: Optional[ClientOptions], use_trip_logger: bool)",,,LoadStateOption.Skip; SaveStateOptions.Skip; case_data.case_dir; case_data.files; pout.mkdir,,auto_generated,pending
core.py,core.V2SimInstance.result_dir,method,result_dir,(self),public,356,Folder of results,(self),,,self.__outdir,,auto_generated,pending
core.py,core.V2SimInstance.ctime,method,ctime,(self),public,361,"Current simulation time, in second",(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.step_length,method,step_length,(self),public,366,"Step length, in second",(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.btime,method,btime,(self),public,371,"Simulation start time, in second",(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.etime,method,etime,(self),public,376,"Simulation end time, in second",(self),,,self.__inst,,auto_generated,pending
